Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Order Month,Order Year,Ship Month,Ship Year,Total_Sales_Per_Customer,Customer_Value,Delivery_Time
CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,6,2015,6,2015,6255.351,High Value,5
CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,6,2015,6,2015,6255.351,High Value,5
CA-2018-114412,4/15/2018,4/20/2018,Standard Class,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,4,2018,4,2018,1790.512,Medium Value,5
CA-2017-161389,12/5/2017,12/10/2017,Standard Class,IM-15070,Irene Maddox,Consumer,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,12,2017,12,2017,4930.474,Medium Value,5
US-2016-118983,11/22/2016,11/26/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,11,2016,11,2016,1990.314,Medium Value,4
US-2016-118983,11/22/2016,11/26/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,11,2016,11,2016,1990.314,Medium Value,4
CA-2015-105893,11/11/2015,11/18/2015,Standard Class,PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,11,2015,11,2015,8646.934,High Value,7
CA-2015-167164,5/13/2015,5/15/2015,Second Class,AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,5,2015,5,2015,2582.898,Medium Value,2
CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,8,2015,9,2015,1493.944,Medium Value,5
CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,8,2015,9,2015,1493.944,Medium Value,5
CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,8,2015,9,2015,1493.944,Medium Value,5
CA-2017-137330,12/9/2017,12/13/2017,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,12,2017,12,2017,2744.742,Medium Value,4
CA-2017-137330,12/9/2017,12/13/2017,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,12,2017,12,2017,2744.742,Medium Value,4
US-2018-156909,7/16/2018,7/18/2018,Second Class,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,7,2018,7,2018,763.546,Low Value,2
CA-2016-106320,9/25/2016,9/30/2016,Standard Class,EB-13870,Emily Burns,Consumer,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,9,2016,9,2016,2767.219,Medium Value,5
CA-2017-121755,1/16/2017,1/20/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,1,2017,1,2017,684.171,Low Value,4
CA-2017-121755,1/16/2017,1/20/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,1,2017,1,2017,684.171,Low Value,4
US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,9,2016,9,2016,4737.486,Medium Value,4
US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,9,2016,9,2016,4737.486,Medium Value,4
US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,9,2016,9,2016,4737.486,Medium Value,4
US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,9,2016,9,2016,4737.486,Medium Value,4
US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,9,2016,9,2016,4737.486,Medium Value,4
US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,9,2016,9,2016,4737.486,Medium Value,4
US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,9,2016,9,2016,4737.486,Medium Value,4
CA-2018-107727,10/19/2018,10/23/2018,Second Class,MA-17560,Matt Abelman,Home Office,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,10,2018,10,2018,4299.161,Medium Value,4
CA-2017-117590,12/8/2017,12/10/2017,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,12,2017,12,2017,1361.244,Medium Value,2
CA-2017-117590,12/8/2017,12/10/2017,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,12,2017,12,2017,1361.244,Medium Value,2
CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,12,2016,12,2016,3127.9592,Medium Value,4
CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,12,2016,12,2016,3127.9592,Medium Value,4
CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,12,2016,12,2016,3127.9592,Medium Value,4
CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,12,2016,12,2016,3127.9592,Medium Value,4
CA-2018-120999,9/10/2018,9/15/2018,Standard Class,LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,9,2018,9,2018,4492.946,Medium Value,5
CA-2017-101343,7/17/2017,7/22/2017,Standard Class,RA-19885,Ruben Ausman,Corporate,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,7,2017,7,2017,3546.224,Medium Value,5
CA-2018-139619,9/19/2018,9/23/2018,Standard Class,ES-14080,Erin Smith,Corporate,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,9,2018,9,2018,4657.924,Medium Value,4
CA-2017-118255,3/11/2017,3/13/2017,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,3,2017,3,2017,1567.52,Medium Value,2
CA-2017-118255,3/11/2017,3/13/2017,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,3,2017,3,2017,1567.52,Medium Value,2
CA-2015-146703,10/20/2015,10/25/2015,Second Class,PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,10,2015,10,2015,2493.214,Medium Value,5
CA-2017-169194,6/20/2017,6/25/2017,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,6,2017,6,2017,2295.332,Medium Value,5
CA-2017-169194,6/20/2017,6/25/2017,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,6,2017,6,2017,2295.332,Medium Value,5
CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,4,2016,4,2016,897.524,Low Value,4
CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,4,2016,4,2016,897.524,Low Value,4
CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,4,2016,4,2016,897.524,Low Value,4
CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,4,2016,4,2016,897.524,Low Value,4
CA-2017-105816,12/11/2017,12/17/2017,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,12,2017,12,2017,1804.146,Medium Value,6
CA-2017-105816,12/11/2017,12/17/2017,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,12,2017,12,2017,1804.146,Medium Value,6
CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,2017,6,2017,1451.361,Medium Value,1
CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,6,2017,6,2017,1451.361,Medium Value,1
CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,6,2017,6,2017,1451.361,Medium Value,1
CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,6,2017,6,2017,1451.361,Medium Value,1
CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,6,2017,6,2017,1451.361,Medium Value,1
CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,6,2017,6,2017,1451.361,Medium Value,1
CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,6,2017,6,2017,1451.361,Medium Value,1
CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,11,2016,11,2016,4909.472,Medium Value,6
CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,11,2016,11,2016,4909.472,Medium Value,6
CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,11,2016,11,2016,4909.472,Medium Value,6
CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,11,2016,11,2016,4909.472,Medium Value,6
US-2016-164175,4/30/2016,5/5/2016,Standard Class,PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,4,2016,5,2016,1278.639,Medium Value,5
CA-2015-106376,12/5/2015,12/10/2015,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,12,2015,12,2015,2454.928,Medium Value,5
CA-2015-106376,12/5/2015,12/10/2015,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,12,2015,12,2015,2454.928,Medium Value,5
CA-2017-119823,6/4/2017,6/6/2017,First Class,KD-16270,Karen Daniels,Consumer,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,6,2017,6,2017,8282.358,High Value,2
CA-2017-106075,9/18/2017,9/23/2017,Standard Class,HM-14980,Henry MacAllister,Consumer,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,9,2017,9,2017,736.276,Low Value,5
CA-2018-114440,9/14/2018,9/17/2018,Second Class,TB-21520,Tracy Blumstein,Consumer,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,9,2018,9,2018,4737.486,Medium Value,3
US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,4,2016,5,2016,6760.815,High Value,6
US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,4,2016,5,2016,6760.815,High Value,6
US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,4,2016,5,2016,6760.815,High Value,6
US-2018-118038,12/9/2018,12/11/2018,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,12,2018,12,2018,983.922,Low Value,2
US-2018-118038,12/9/2018,12/11/2018,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,12,2018,12,2018,983.922,Low Value,2
US-2018-118038,12/9/2018,12/11/2018,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,12,2018,12,2018,983.922,Low Value,2
US-2015-147606,11/26/2015,12/1/2015,Second Class,JE-15745,Joel Eaton,Consumer,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,11,2015,12,2015,6760.815,High Value,5
CA-2017-127208,6/12/2017,6/15/2017,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,6,2017,6,2017,4492.657,Medium Value,3
CA-2017-127208,6/12/2017,6/15/2017,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,6,2017,6,2017,4492.657,Medium Value,3
CA-2015-139451,10/12/2015,10/16/2015,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,10,2015,10,2015,2139.79,Medium Value,4
CA-2015-139451,10/12/2015,10/16/2015,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,10,2015,10,2015,2139.79,Medium Value,4
CA-2016-149734,9/3/2016,9/8/2016,Standard Class,JC-16105,Julie Creighton,Corporate,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,9,2016,9,2016,858.576,Low Value,5
US-2018-119662,11/13/2018,11/16/2018,First Class,CS-12400,Christopher Schild,Home Office,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,11,2018,11,2018,3651.8585,Medium Value,3
CA-2018-140088,5/28/2018,5/30/2018,Second Class,PO-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,5,2018,5,2018,2493.214,Medium Value,2
CA-2018-155558,10/26/2018,11/2/2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,10,2018,11,2018,1987.164,Medium Value,7
CA-2018-155558,10/26/2018,11/2/2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,10,2018,11,2018,1987.164,Medium Value,7
CA-2017-159695,4/5/2017,4/10/2017,Second Class,GM-14455,Gary Mitchum,Home Office,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,4,2017,4,2017,3078.624,Medium Value,5
CA-2017-109806,9/17/2017,9/22/2017,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,9,2017,9,2017,990.196,Low Value,5
CA-2017-109806,9/17/2017,9/22/2017,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,9,2017,9,2017,990.196,Low Value,5
CA-2017-109806,9/17/2017,9/22/2017,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,9,2017,9,2017,990.196,Low Value,5
CA-2016-149587,1/31/2016,2/5/2016,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,1,2016,2,2016,1569.464,Medium Value,5
CA-2016-149587,1/31/2016,2/5/2016,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,1,2016,2,2016,1569.464,Medium Value,5
CA-2016-149587,1/31/2016,2/5/2016,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,1,2016,2,2016,1569.464,Medium Value,5
US-2018-109484,11/6/2018,11/12/2018,Standard Class,RB-19705,Roger Barcio,Home Office,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,11,2018,11,2018,2067.45,Medium Value,6
CA-2018-161018,11/9/2018,11/11/2018,Second Class,PN-18775,Parhena Norris,Home Office,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,11,2018,11,2018,1467.152,Medium Value,2
CA-2018-157833,6/17/2018,6/20/2018,First Class,KD-16345,Katherine Ducich,Consumer,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,6,2018,6,2018,1888.964,Medium Value,3
CA-2017-149223,9/6/2017,9/11/2017,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,9,2017,9,2017,1245.788,Medium Value,5
CA-2017-158568,8/29/2017,9/2/2017,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,8,2017,9,2017,4715.466,Medium Value,4
CA-2017-158568,8/29/2017,9/2/2017,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,8,2017,9,2017,4715.466,Medium Value,4
CA-2017-158568,8/29/2017,9/2/2017,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,8,2017,9,2017,4715.466,Medium Value,4
